city,鄉鎮市區,房型,season,price_pp,rent_pp,prr,skey
台北市,信義區,華廈,113S2,85.2,1155.0,61.5,1132
台北市,信義區,華廈,113S3,88.7,1102.0,67.1,1133
台北市,信義區,華廈,113S4,98.0,1345.0,60.7,1134
台北市,信義區,華廈,114S1,89.4,1314.0,56.7,1141
台北市,信義區,華廈,114S2,92.7,1253.0,61.7,1142
台北市,信義區,華廈,114S3,93.0,1064.0,72.8,1143
台北市,信義區,華廈,114S4,79.4,1207.0,54.8,1144
台北市,信義區,華廈,115S1,92.2,1028.0,74.7,1151
台北市,信義區,透天,113S2,102.8,1197.0,71.6,1132
台北市,內湖區,公寓,111S1,52.1,,,1111
台北市,內湖區,公寓,111S2,50.5,,,1112
台北市,內湖區,公寓,111S3,53.2,,,1113
台北市,內湖區,公寓,111S4,53.5,,,1114
台北市,內湖區,公寓,112S1,51.7,,,1121
台北市,內湖區,公寓,112S2,53.0,,,1122
台北市,內湖區,公寓,112S3,54.4,,,1123
台北市,內湖區,公寓,112S4,54.2,939.0,48.1,1124
台北市,內湖區,公寓,113S1,55.3,911.0,50.6,1131
台北市,內湖區,公寓,113S2,56.4,902.0,52.1,1132
台北市,內湖區,公寓,113S3,59.2,909.0,54.3,1133
台北市,內湖區,公寓,113S4,58.3,922.0,52.7,1134
台北市,內湖區,公寓,114S1,59.6,886.0,56.1,1141
台北市,內湖區,公寓,114S2,57.0,902.0,52.7,1142
台北市,內湖區,公寓,114S3,59.6,929.0,53.5,1143
台北市,內湖區,公寓,114S4,59.7,902.0,55.2,1144
台北市,內湖區,公寓,115S1,59.6,904.0,54.9,1151
台北市,內湖區,大樓,111S1,63.3,,,1111
台北市,內湖區,大樓,111S2,82.9,,,1112
台北市,內湖區,大樓,111S3,75.2,,,1113
台北市,內湖區,大樓,111S4,72.1,,,1114
台北市,內湖區,大樓,112S1,75.6,,,1121
台北市,內湖區,大樓,112S2,73.2,,,1122
台北市,內湖區,大樓,112S3,76.9,,,1123
台北市,內湖區,大樓,112S4,80.9,1045.0,64.5,1124
台北市,內湖區,大樓,113S1,75.7,1061.0,59.5,1131
台北市,內湖區,大樓,113S2,83.2,1140.0,60.8,1132
台北市,內湖區,大樓,113S3,86.8,1235.0,58.6,1133
台北市,內湖區,大樓,113S4,87.7,1276.0,57.3,1134
台北市,內湖區,大樓,114S1,77.9,1073.0,60.5,1141
台北市,內湖區,大樓,114S2,86.4,1114.0,64.6,1142
台北市,內湖區,大樓,114S3,89.6,1220.0,61.2,1143
台北市,內湖區,大樓,114S4,96.6,1096.0,73.4,1144
台北市,內湖區,大樓,115S1,100.2,1119.0,74.6,1151
台北市,內湖區,華廈,111S1,65.3,,,1111
台北市,內湖區,華廈,111S2,67.5,,,1112
台北市,內湖區,華廈,111S3,71.3,,,1113
台北市,內湖區,華廈,111S4,71.2,,,1114
台北市,內湖區,華廈,112S1,68.9,,,1121
台北市,內湖區,華廈,112S2,72.7,,,1122
台北市,內湖區,華廈,112S3,71.0,,,1123
台北市,內湖區,華廈,112S4,68.2,926.0,61.4,1124
台北市,內湖區,華廈,113S1,75.8,932.0,67.8,1131
台北市,內湖區,華廈,113S2,75.9,916.0,69.1,1132
台北市,內湖區,華廈,113S3,78.4,1089.0,60.0,1133
台北市,內湖區,華廈,113S4,85.1,1048.0,67.7,1134
台北市,內湖區,華廈,114S1,83.2,861.0,80.5,1141
台北市,內湖區,華廈,114S2,87.5,962.0,75.8,1142
台北市,內湖區,華廈,114S3,74.9,1134.0,55.0,1143
台北市,內湖區,華廈,114S4,84.9,931.0,76.0,1144
台北市,內湖區,華廈,115S1,83.1,982.0,70.5,1151
台北市,北投區,公寓,111S1,47.0,,,1111
台北市,北投區,公寓,111S2,41.7,,,1112
台北市,北投區,公寓,111S3,43.7,,,1113
台北市,北投區,公寓,111S4,46.1,,,1114
台北市,北投區,公寓,112S1,45.1,,,1121
台北市,北投區,公寓,112S2,47.5,,,1122
台北市,北投區,公寓,112S3,50.8,,,1123
台北市,北投區,公寓,112S4,46.9,833.0,46.9,1124
台北市,北投區,公寓,113S1,47.7,876.0,45.4,1131
台北市,北投區,公寓,113S2,47.5,853.0,46.4,1132
台北市,北投區,公寓,113S3,50.2,780.0,53.6,1133
台北市,北投區,公寓,113S4,57.3,869.0,54.9,1134
台北市,北投區,公寓,114S1,52.3,790.0,55.2,1141
台北市,北投區,公寓,114S2,55.2,840.0,54.8,1142
台北市,北投區,公寓,114S3,54.8,856.0,53.3,1143
台北市,北投區,公寓,114S4,50.0,896.0,46.5,1144
台北市,北投區,公寓,115S1,50.3,853.0,49.1,1151
台北市,北投區,大樓,111S1,57.2,,,1111
台北市,北投區,大樓,111S2,65.4,,,1112
台北市,北投區,大樓,111S3,69.2,,,1113
台北市,北投區,大樓,111S4,61.9,,,1114
台北市,北投區,大樓,112S1,60.5,,,1121
台北市,北投區,大樓,112S2,56.8,,,1122
台北市,北投區,大樓,112S3,64.4,,,1123
台北市,北投區,大樓,112S4,63.5,1028.0,51.5,1124
台北市,北投區,大樓,113S1,66.8,1170.0,47.6,1131
台北市,北投區,大樓,113S2,74.7,1167.0,53.3,1132
台北市,北投區,大樓,113S3,63.5,1155.0,45.8,1133
台北市,北投區,大樓,113S4,66.9,1336.0,41.7,1134
台北市,北投區,大樓,114S1,72.1,1331.0,45.1,1141
台北市,北投區,大樓,114S2,70.2,1169.0,50.0,1142
台北市,北投區,大樓,114S3,75.9,1071.0,59.1,1143
台北市,北投區,大樓,114S4,102.3,1182.0,72.1,1144
台北市,北投區,大樓,115S1,91.1,1102.0,68.9,1151
台北市,北投區,華廈,111S1,54.4,,,1111
台北市,北投區,華廈,111S2,49.2,,,1112
台北市,北投區,華廈,111S3,54.5,,,1113
台北市,北投區,華廈,111S4,62.9,,,1114
台北市,北投區,華廈,112S1,64.2,,,1121
台北市,北投區,華廈,112S2,59.1,,,1122
台北市,北投區,華廈,112S3,52.7,,,1123
台北市,北投區,華廈,112S4,61.5,992.0,51.7,1124
台北市,北投區,華廈,113S1,58.5,983.0,49.6,1131
台北市,北投區,華廈,113S2,62.5,1051.0,49.6,1132
台北市,北投區,華廈,113S3,62.1,1043.0,49.6,1133
台北市,北投區,華廈,113S4,66.9,902.0,61.8,1134
台北市,北投區,華廈,114S1,57.2,873.0,54.6,1141
